no,Country,Code,Region,Income,Lending category,Other
1,Afghanistan,wb_c_1,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,HIPC
2,Albania,wb_c_2,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
3,Algeria,wb_c_3,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,
4,American Samoa,wb_c_4,East Asia & Pacific,High income,,
5,Andorra,wb_c_5,Non-Eurostat Europe & Central Asia,High income,,
6,Angola,wb_c_6,Sub-Saharan Africa,Lower middle income,IBRD,
7,Antigua and Barbuda,wb_c_7,Latin America & Caribbean,High income,IBRD,
8,Argentina,wb_c_8,Latin America & Caribbean,Upper middle income,IBRD,
9,Armenia,wb_c_9,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
10,Aruba,wb_c_10,Latin America & Caribbean,High income,,
11,Australia,wb_c_11,East Asia & Pacific,High income,,
12,Austria,wb_c_12,Eurostat + UK,High income,EMU,
13,Azerbaijan,wb_c_13,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
14,Bahamas,wb_c_14,Latin America & Caribbean,High income,,
15,Bahrain,wb_c_15,"Middle East, North Africa, Afghanistan & Pakistan",High income,,
16,Bangladesh,wb_c_16,South Asia,Lower middle income,IDA,
17,Barbados,wb_c_17,Latin America & Caribbean,High income,,
18,Belarus,wb_c_18,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
19,Belgium,wb_c_19,Eurostat + UK,High income,EMU,
20,Belize,wb_c_20,Latin America & Caribbean,Upper middle income,IBRD,
21,Benin,wb_c_21,Sub-Saharan Africa,Lower middle income,IDA,HIPC
22,Bermuda,wb_c_22,North America,High income,,
23,Bhutan,wb_c_23,South Asia,Lower middle income,IDA,
24,Bolivia,wb_c_24,Latin America & Caribbean,Lower middle income,IBRD,HIPC
25,Bosnia and Herzegovina,wb_c_25,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
26,Botswana,wb_c_26,Sub-Saharan Africa,Upper middle income,IBRD,
27,Brazil,wb_c_27,Latin America & Caribbean,Upper middle income,IBRD,
28,British Virgin Islands,wb_c_28,Latin America & Caribbean,High income,,
29,Brunei Darussalam,wb_c_29,East Asia & Pacific,High income,,
30,Bulgaria,wb_c_30,Eurostat + UK,High income,IBRD,
31,Burkina Faso,wb_c_31,Sub-Saharan Africa,Low income,IDA,HIPC
32,Burundi,wb_c_32,Sub-Saharan Africa,Low income,IDA,HIPC
33,Cabo Verde,wb_c_33,Sub-Saharan Africa,Upper middle income,Blend,
34,Cambodia,wb_c_34,East Asia & Pacific,Lower middle income,IDA,
35,Cameroon,wb_c_35,Sub-Saharan Africa,Lower middle income,Blend,HIPC
36,Canada,wb_c_36,North America,High income,,
37,Cayman Islands,wb_c_37,Latin America & Caribbean,High income,,
38,Central African Republic,wb_c_38,Sub-Saharan Africa,Low income,IDA,HIPC
39,Chad,wb_c_39,Sub-Saharan Africa,Low income,IDA,HIPC
40,Channel Islands,wb_c_40,Non-Eurostat Europe & Central Asia,High income,,
41,Chile,wb_c_41,Latin America & Caribbean,High income,IBRD,
42,China,wb_c_42,East Asia & Pacific,Upper middle income,IBRD,
43,Colombia,wb_c_43,Latin America & Caribbean,Upper middle income,IBRD,
44,Comoros,wb_c_44,Sub-Saharan Africa,Lower middle income,IDA,HIPC
45,Congo Dem. Rep.,wb_c_45,Sub-Saharan Africa,Low income,IDA,HIPC
46,Congo Rep.,wb_c_46,Sub-Saharan Africa,Lower middle income,Blend,HIPC
47,Costa Rica,wb_c_47,Latin America & Caribbean,High income,IBRD,
48,Côte dIvoire,wb_c_48,Sub-Saharan Africa,Lower middle income,IDA,HIPC
49,Croatia,wb_c_49,Eurostat + UK,High income,IBRD,
50,Cuba,wb_c_50,Latin America & Caribbean,Upper middle income,,
51,Curaçao,wb_c_51,Latin America & Caribbean,High income,,
52,Cyprus,wb_c_52,Eurostat + UK,High income,EMU,
53,Czech Republic,wb_c_53,Eurostat + UK,High income,,
54,Denmark,wb_c_54,Eurostat + UK,High income,,
55,Djibouti,wb_c_55,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IDA,
56,Dominica,wb_c_56,Latin America & Caribbean,Upper middle income,Blend,
57,Dominican Republic,wb_c_57,Latin America & Caribbean,Upper middle income,IBRD,
58,Ecuador,wb_c_58,Latin America & Caribbean,Upper middle income,IBRD,
59,Egypt,wb_c_59,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,
60,El Salvador,wb_c_60,Latin America & Caribbean,Upper middle income,IBRD,
61,Equatorial Guinea,wb_c_61,Sub-Saharan Africa,Upper middle income,IBRD,
62,Eritrea,wb_c_62,Sub-Saharan Africa,Low income,IDA,HIPC
63,Estonia,wb_c_63,Eurostat + UK,High income,EMU,
64,Eswatini,wb_c_64,Sub-Saharan Africa,Lower middle income,IBRD,
65,Ethiopia,wb_c_65,Sub-Saharan Africa,Low income,IDA,HIPC
66,Faroe Islands,wb_c_66,Non-Eurostat Europe & Central Asia,High income,,
67,Fiji,wb_c_67,East Asia & Pacific,Upper middle income,Blend,
68,Finland,wb_c_68,Eurostat + UK,High income,EMU,
69,France,wb_c_69,Eurostat + UK,High income,EMU,
70,French Polynesia,wb_c_70,East Asia & Pacific,High income,,
71,Gabon,wb_c_71,Sub-Saharan Africa,Upper middle income,IBRD,
72,Gambia,wb_c_72,Sub-Saharan Africa,Low income,IDA,HIPC
73,Georgia,wb_c_73,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
74,Germany,wb_c_74,Eurostat + UK,High income,EMU,
75,Ghana,wb_c_75,Sub-Saharan Africa,Lower middle income,IDA,HIPC
76,Gibraltar,wb_c_76,Non-Eurostat Europe & Central Asia,High income,,
77,Greece,wb_c_77,Eurostat + UK,High income,EMU,
78,Greenland,wb_c_78,Non-Eurostat Europe & Central Asia,High income,,
79,Grenada,wb_c_79,Latin America & Caribbean,Upper middle income,Blend,
80,Guam,wb_c_80,East Asia & Pacific,High income,,
81,Guatemala,wb_c_81,Latin America & Caribbean,Upper middle income,IBRD,
82,Guinea,wb_c_82,Sub-Saharan Africa,Lower middle income,IDA,HIPC
83,Guinea-Bissau,wb_c_83,Sub-Saharan Africa,Low income,IDA,HIPC
84,Guyana,wb_c_84,Latin America & Caribbean,High income,IDA,HIPC
85,Haiti,wb_c_85,Latin America & Caribbean,Lower middle income,IDA,HIPC
86,Honduras,wb_c_86,Latin America & Caribbean,Lower middle income,IDA,HIPC
87,Hong Kong (S.A.R.),wb_c_87,East Asia & Pacific,High income,,
88,Hungary,wb_c_88,Eurostat + UK,High income,,
89,Iceland,wb_c_89,Eurostat + UK,High income,,
90,India,wb_c_90,South Asia,Lower middle income,IBRD,
91,Indonesia,wb_c_91,East Asia & Pacific,Upper middle income,IBRD,
92,Iran,wb_c_92,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,
93,Iraq,wb_c_93,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,
94,Ireland,wb_c_94,Eurostat + UK,High income,EMU,
95,Isle of Man,wb_c_95,Non-Eurostat Europe & Central Asia,High income,,
96,Israel,wb_c_96,"Middle East, North Africa, Afghanistan & Pakistan",High income,,
97,Italy,wb_c_97,Eurostat + UK,High income,EMU,
98,Jamaica,wb_c_98,Latin America & Caribbean,Upper middle income,IBRD,
99,Japan,wb_c_99,East Asia & Pacific,High income,,
100,Jordan,wb_c_100,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,
101,Kazakhstan,wb_c_101,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
102,Kenya,wb_c_102,Sub-Saharan Africa,Lower middle income,Blend,
103,Kiribati,wb_c_103,East Asia & Pacific,Lower middle income,IDA,
104,Korea Dem. Peoples Rep.,wb_c_104,East Asia & Pacific,Low income,,
105,South Korea,wb_c_105,East Asia & Pacific,High income,,
106,Kosovo,wb_c_106,Non-Eurostat Europe & Central Asia,Upper middle income,IDA,
107,Kuwait,wb_c_107,"Middle East, North Africa, Afghanistan & Pakistan",High income,,
108,Kyrgyz Republic,wb_c_108,Non-Eurostat Europe & Central Asia,Lower middle income,IDA,
109,Lao PDR,wb_c_109,East Asia & Pacific,Lower middle income,IDA,
110,Latvia,wb_c_110,Eurostat + UK,High income,EMU,
111,Lebanon,wb_c_111,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,
112,Lesotho,wb_c_112,Sub-Saharan Africa,Lower middle income,IDA,
113,Liberia,wb_c_113,Sub-Saharan Africa,Low income,IDA,HIPC
114,Libya,wb_c_114,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,
115,Liechtenstein,wb_c_115,Eurostat + UK,High income,,
116,Lithuania,wb_c_116,Eurostat + UK,High income,EMU,
117,Luxembourg,wb_c_117,Eurostat + UK,High income,EMU,
118,Macao SAR,wb_c_118,East Asia & Pacific,High income,,
119,Madagascar,wb_c_119,Sub-Saharan Africa,Low income,IDA,HIPC
120,Malawi,wb_c_120,Sub-Saharan Africa,Low income,IDA,HIPC
121,Malaysia,wb_c_121,East Asia & Pacific,Upper middle income,IBRD,
122,Maldives,wb_c_122,South Asia,Upper middle income,IDA,
123,Mali,wb_c_123,Sub-Saharan Africa,Low income,IDA,HIPC
124,Malta,wb_c_124,Eurostat + UK,High income,EMU,
125,Marshall Islands,wb_c_125,East Asia & Pacific,Upper middle income,IDA,
126,Mauritania,wb_c_126,Sub-Saharan Africa,Lower middle income,IDA,HIPC
127,Mauritius,wb_c_127,Sub-Saharan Africa,Upper middle income,IBRD,
128,Mexico,wb_c_128,Latin America & Caribbean,Upper middle income,IBRD,
129,Micronesia,wb_c_129,East Asia & Pacific,Lower middle income,IDA,
130,Moldova,wb_c_130,Non-Eurostat Europe & Central Asia,Upper middle income,Blend,
131,Monaco,wb_c_131,Non-Eurostat Europe & Central Asia,High income,,
132,Mongolia,wb_c_132,East Asia & Pacific,Upper middle income,Blend,
133,Montenegro,wb_c_133,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
134,Morocco,wb_c_134,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,
135,Mozambique,wb_c_135,Sub-Saharan Africa,Low income,IDA,HIPC
136,Myanmar,wb_c_136,East Asia & Pacific,Lower middle income,IDA,
137,Namibia,wb_c_137,Sub-Saharan Africa,Lower middle income,IBRD,
138,Nauru,wb_c_138,East Asia & Pacific,High income,IBRD,
139,Nepal,wb_c_139,South Asia,Lower middle income,IDA,
140,Netherlands,wb_c_140,Eurostat + UK,High income,EMU,
141,New Caledonia,wb_c_141,East Asia & Pacific,High income,,
142,New Zealand,wb_c_142,East Asia & Pacific,High income,,
143,Nicaragua,wb_c_143,Latin America & Caribbean,Lower middle income,IDA,HIPC
144,Niger,wb_c_144,Sub-Saharan Africa,Low income,IDA,HIPC
145,Nigeria,wb_c_145,Sub-Saharan Africa,Lower middle income,Blend,
146,North Macedonia,wb_c_146,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
147,Northern Mariana Islands,wb_c_147,East Asia & Pacific,High income,,
148,Norway,wb_c_148,Eurostat + UK,High income,,
149,Oman,wb_c_149,"Middle East, North Africa, Afghanistan & Pakistan",High income,,
150,Pakistan,wb_c_150,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Blend,
151,Palau,wb_c_151,East Asia & Pacific,High income,IBRD,
152,Panama,wb_c_152,Latin America & Caribbean,High income,IBRD,
153,Papua New Guinea,wb_c_153,East Asia & Pacific,Lower middle income,Blend,
154,Paraguay,wb_c_154,Latin America & Caribbean,Upper middle income,IBRD,
155,Peru,wb_c_155,Latin America & Caribbean,Upper middle income,IBRD,
156,Philippines,wb_c_156,East Asia & Pacific,Lower middle income,IBRD,
157,Poland,wb_c_157,Eurostat + UK,High income,IBRD,
158,Portugal,wb_c_158,Eurostat + UK,High income,EMU,
159,Puerto Rico,wb_c_159,Latin America & Caribbean,High income,,
160,Qatar,wb_c_160,"Middle East, North Africa, Afghanistan & Pakistan",High income,,
161,Romania,wb_c_161,Eurostat + UK,High income,IBRD,
162,Russia,wb_c_162,Non-Eurostat Europe & Central Asia,High income,IBRD,
163,Rwanda,wb_c_163,Sub-Saharan Africa,Low income,IDA,HIPC
164,Samoa,wb_c_164,East Asia & Pacific,Upper middle income,IDA,
165,San Marino,wb_c_165,Non-Eurostat Europe & Central Asia,High income,,
166,São Tomé and Principe,wb_c_166,Sub-Saharan Africa,Lower middle income,IDA,HIPC
167,Saudi Arabia,wb_c_167,"Middle East, North Africa, Afghanistan & Pakistan",High income,,
168,Senegal,wb_c_168,Sub-Saharan Africa,Lower middle income,IDA,HIPC
169,Serbia,wb_c_169,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
170,Seychelles,wb_c_170,Sub-Saharan Africa,High income,IBRD,
171,Sierra Leone,wb_c_171,Sub-Saharan Africa,Low income,IDA,HIPC
172,Singapore,wb_c_172,East Asia & Pacific,High income,,
173,Sint Maarten (Dutch part),wb_c_173,Latin America & Caribbean,High income,,
174,Slovak Republic,wb_c_174,Eurostat + UK,High income,EMU,
175,Slovenia,wb_c_175,Eurostat + UK,High income,EMU,
176,Solomon Islands,wb_c_176,East Asia & Pacific,Lower middle income,IDA,
177,Somalia,wb_c_177,Sub-Saharan Africa,Low income,IDA,HIPC
178,South Africa,wb_c_178,Sub-Saharan Africa,Upper middle income,IBRD,
179,South Sudan,wb_c_179,Sub-Saharan Africa,Low income,IDA,
180,Spain,wb_c_180,Eurostat + UK,High income,EMU,
181,Sri Lanka,wb_c_181,South Asia,Lower middle income,IBRD,
182,St. Kitts and Nevis,wb_c_182,Latin America & Caribbean,High income,IBRD,
183,St. Lucia,wb_c_183,Latin America & Caribbean,Upper middle income,Blend,
184,St. Martin (French part),wb_c_184,Latin America & Caribbean,High income,,
185,St. Vincent and the Grenadines,wb_c_185,Latin America & Caribbean,Upper middle income,Blend,
186,Sudan,wb_c_186,Sub-Saharan Africa,Low income,IDA,HIPC
187,Suriname,wb_c_187,Latin America & Caribbean,Upper middle income,IBRD,
188,Sweden,wb_c_188,Eurostat + UK,High income,,
189,Switzerland,wb_c_189,Eurostat + UK,High income,,
190,Syrian Arab Republic,wb_c_190,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,
191,Taiwan,wb_c_191,East Asia & Pacific,High income,,
192,Tajikistan,wb_c_192,Non-Eurostat Europe & Central Asia,Lower middle income,IDA,
193,Tanzania,wb_c_193,Sub-Saharan Africa,Lower middle income,IDA,HIPC
194,Thailand,wb_c_194,East Asia & Pacific,Upper middle income,IBRD,
195,Timor-Leste,wb_c_195,East Asia & Pacific,Lower middle income,Blend,
196,Togo,wb_c_196,Sub-Saharan Africa,Low income,IDA,HIPC
197,Tonga,wb_c_197,East Asia & Pacific,Upper middle income,IDA,
198,Trinidad and Tobago,wb_c_198,Latin America & Caribbean,High income,IBRD,
199,Tunisia,wb_c_199,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,
200,Turkey,wb_c_200,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
201,Turkmenistan,wb_c_201,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
202,Turks and Caicos Islands,wb_c_202,Latin America & Caribbean,High income,,
203,Tuvalu,wb_c_203,East Asia & Pacific,Upper middle income,IDA,
204,Uganda,wb_c_204,Sub-Saharan Africa,Low income,IDA,HIPC
205,Ukraine,wb_c_205,Non-Eurostat Europe & Central Asia,Upper middle income,IBRD,
206,United Arab Emirates,wb_c_206,"Middle East, North Africa, Afghanistan & Pakistan",High income,,
207,United Kingdom,wb_c_207,Eurostat + UK,High income,,
208,United States,wb_c_208,North America,High income,,
209,Uruguay,wb_c_209,Latin America & Caribbean,High income,IBRD,
210,Uzbekistan,wb_c_210,Non-Eurostat Europe & Central Asia,Lower middle income,Blend,
211,Vanuatu,wb_c_211,East Asia & Pacific,Lower middle income,IDA,
212,Venezuela,wb_c_212,Latin America & Caribbean,Upper middle income,IBRD,
213,Viet Nam,wb_c_213,East Asia & Pacific,Lower middle income,IBRD,
214,Virgin Islands (U.S.),wb_c_214,Latin America & Caribbean,High income,,
215,West Bank and Gaza,wb_c_215,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,
216,Yemen,wb_c_216,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,
217,Zambia,wb_c_217,Sub-Saharan Africa,Lower middle income,IDA,HIPC
218,Zimbabwe,wb_c_218,Sub-Saharan Africa,Lower middle income,Blend,
